HCPCS_and_CPT_Code,DME_Supplier_Services_MUE_Values,MUE_Adjudication_Indicator,MUE_Rationale
L0460,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0462,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0464,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0466,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0467,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0468,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0469,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0470,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0472,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0480,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0482,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0484,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0486,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0488,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0490,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0491,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0492,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0621,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0622,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0623,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0624,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0625,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0626,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0627,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0628,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0629,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0630,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0631,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0632,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0633,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0634,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0635,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0636,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0637,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0638,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0639,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0640,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0641,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0642,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0643,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0648,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0649,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0650,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0651,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0700,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0710,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0810,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0820,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0830,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0859,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L0861,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L0970,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0972,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0974,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0976,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0978,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L0980,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L0982,1,3 Date of Service Edit: Clinical,Nature of Equipment
L0984,0,3 Date of Service Edit: Clinical,CMS Policy
L1000,1,2 Date of Service Edit: Policy,Anatomic Consideration
L1001,1,2 Date of Service Edit: Policy,Anatomic Consideration
L1005,1,2 Date of Service Edit: Policy,Anatomic Consideration
L1010,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1020,2,3 Date of Service Edit: Clinical,Nature of Equipment
L1025,1,3 Date of Service Edit: Clinical,Nature of Equipment
L1030,1,3 Date of Service Edit: Clinical,Nature of Equipment
L1040,1,3 Date of Service Edit: Clinical,Nature of Equipment
L1050,1,3 Date of Service Edit: Clinical,Nature of Equipment
L1060,1,3 Date of Service Edit: Clinical,Nature of Equipment
L1070,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1080,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1085,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1090,1,3 Date of Service Edit: Clinical,Anatomic Consideration
L1100,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1110,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1120,3,3 Date of Service Edit: Clinical,Nature of Equipment
L1200,1,2 Date of Service Edit: Policy,Anatomic Consideration
L1210,2,3 Date of Service Edit: Clinical,Nature of Equipment
L1220,1,3 Date of Service Edit: Clinical,Nature of Equipment
L1230,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1240,1,3 Date of Service Edit: Clinical,Nature of Equipment
L1250,2,3 Date of Service Edit: Clinical,Nature of Equipment
L1260,1,3 Date of Service Edit: Clinical,Nature of Equipment
L1270,3,3 Date of Service Edit: Clinical,Nature of Equipment
L1280,2,3 Date of Service Edit: Clinical,Nature of Equipment
L1290,2,3 Date of Service Edit: Clinical,Nature of Equipment
L1300,1,2 Date of Service Edit: Policy,Anatomic Consideration
L1310,1,2 Date of Service Edit: Policy,Anatomic Consideration
L1499,1,3 Date of Service Edit: Clinical,Nature of Equipment
L1600,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1610,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1620,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1630,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1640,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1650,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1652,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1660,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1680,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1685,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1686,1,3 Date of Service Edit: Clinical,Nature of Equipment
L1690,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1700,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1710,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1720,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1730,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L1755,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1810,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1812,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1820,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1830,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1831,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1832,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1833,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1834,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1836,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1840,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1843,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1844,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1845,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1846,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1847,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1848,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1850,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1851,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1852,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1860,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1900,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1902,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1904,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1906,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1907,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1910,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1920,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1930,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1932,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1940,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1945,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1950,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1951,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1960,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1970,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1971,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1980,2,2 Date of Service Edit: Policy,Anatomic Consideration
L1990,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2000,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2005,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2006,1,3 Date of Service Edit: Clinical,Nature of Equipment
L2010,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2020,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2030,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2034,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2035,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2036,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2037,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2038,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2040,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L2050,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L2060,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L2070,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L2080,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L2090,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L2106,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2108,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2112,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2114,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2116,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2126,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2128,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2132,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2134,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2136,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2180,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2182,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L2184,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L2186,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L2188,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2190,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2192,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2200,4,2 Date of Service Edit: Policy,Anatomic Consideration
L2210,4,2 Date of Service Edit: Policy,Anatomic Consideration
L2220,4,2 Date of Service Edit: Policy,Anatomic Consideration
L2230,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2232,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2240,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2250,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2260,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2265,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2270,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L2275,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L2280,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2300,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L2310,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L2320,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L2330,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L2335,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2340,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2350,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2360,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2370,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2375,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2380,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L2385,4,2 Date of Service Edit: Policy,Anatomic Consideration
L2387,4,2 Date of Service Edit: Policy,Anatomic Consideration
L2390,4,2 Date of Service Edit: Policy,Anatomic Consideration
L2395,4,2 Date of Service Edit: Policy,Anatomic Consideration
L2397,4,3 Date of Service Edit: Clinical,Anatomic Consideration
L2405,4,2 Date of Service Edit: Policy,Anatomic Consideration
L2415,4,2 Date of Service Edit: Policy,Anatomic Consideration
L2425,4,2 Date of Service Edit: Policy,Anatomic Consideration
L2430,4,2 Date of Service Edit: Policy,Anatomic Consideration
L2492,4,2 Date of Service Edit: Policy,Anatomic Consideration
L2500,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2510,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2520,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2525,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2526,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2530,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2540,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2550,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2570,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2580,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2600,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2610,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2620,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2622,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2624,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2627,1,3 Date of Service Edit: Clinical,Nature of Equipment
L2628,1,3 Date of Service Edit: Clinical,Nature of Equipment
L2630,1,2 Date of Service Edit: Policy,Anatomic Consideration
L2640,1,2 Date of Service Edit: Policy,Anatomic Consideration
L2650,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L2660,1,3 Date of Service Edit: Clinical,Nature of Equipment
L2670,2,3 Date of Service Edit: Clinical,Nature of Equipment
L2680,2,3 Date of Service Edit: Clinical,Nature of Equipment
L2750,8,3 Date of Service Edit: Clinical,Clinical: Data
L2755,8,3 Date of Service Edit: Clinical,Clinical: Data
L2760,4,3 Date of Service Edit: Clinical,Nature of Equipment
L2768,4,3 Date of Service Edit: Clinical,Nature of Equipment
L2780,8,3 Date of Service Edit: Clinical,Clinical: Data
L2785,4,3 Date of Service Edit: Clinical,Nature of Equipment
L2795,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2800,2,2 Date of Service Edit: Policy,Anatomic Consideration
L2810,4,2 Date of Service Edit: Policy,Anatomic Consideration
L2820,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L2830,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L2840,0,3 Date of Service Edit: Clinical,Published Contractor Policy
L2850,0,3 Date of Service Edit: Clinical,Published Contractor Policy
L2861,0,3 Date of Service Edit: Clinical,Published Contractor Policy
L3000,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3001,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3002,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3003,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3010,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3020,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3030,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3031,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3040,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3050,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3060,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3070,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3080,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3090,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3100,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3140,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L3150,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L3160,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3170,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3201,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3202,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3203,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3204,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3206,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3207,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3208,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3209,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3211,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3212,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3213,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3214,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3215,0,3 Date of Service Edit: Clinical,Published Contractor Policy
L3216,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3217,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3219,0,3 Date of Service Edit: Clinical,Published Contractor Policy
L3221,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3222,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3224,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3225,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3230,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3250,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3251,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3252,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3253,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3254,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3255,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3257,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3260,0,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3265,0,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3300,4,3 Date of Service Edit: Clinical,Clinical: Data
L3310,4,3 Date of Service Edit: Clinical,Clinical: Data
L3330,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3332,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3334,4,3 Date of Service Edit: Clinical,Clinical: Data
L3340,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3350,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3360,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3370,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3380,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3390,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3400,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3410,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3420,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3430,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3440,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3450,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3455,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3460,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3465,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3470,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3480,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3485,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3500,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3510,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3520,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3530,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3540,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3550,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3560,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3570,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3580,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3590,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3595,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3600,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L3610,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L3620,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L3630,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L3640,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L3650,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L3671,1,3 Date of Service Edit: Clinical,Nature of Equipment
L3674,1,3 Date of Service Edit: Clinical,Clinical: Data
L3677,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L3678,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L3702,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3710,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3720,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3730,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3740,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3760,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3761,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3762,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3763,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3764,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3765,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3766,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3806,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3807,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3808,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3809,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3891,0,3 Date of Service Edit: Clinical,Published Contractor Policy
L3900,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3901,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3904,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3905,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3906,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3908,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3912,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3913,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3915,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3916,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L3917,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3918,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3919,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3921,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3923,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3924,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3925,4,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
L3927,4,3 Date of Service Edit: Clinical,Clinical: Data
L3929,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3930,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3931,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3933,3,3 Date of Service Edit: Clinical,Clinical: Data
L3935,3,3 Date of Service Edit: Clinical,Clinical: Data
L3956,4,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
L3960,1,3 Date of Service Edit: Clinical,Nature of Equipment
L3961,1,3 Date of Service Edit: Clinical,Nature of Equipment
L3962,1,3 Date of Service Edit: Clinical,Nature of Equipment
L3967,1,3 Date of Service Edit: Clinical,Nature of Equipment
L3971,1,3 Date of Service Edit: Clinical,Nature of Equipment
L3973,1,3 Date of Service Edit: Clinical,Nature of Equipment
L3975,1,3 Date of Service Edit: Clinical,Nature of Equipment
L3976,1,3 Date of Service Edit: Clinical,Nature of Equipment
L3977,1,3 Date of Service Edit: Clinical,Nature of Equipment
L3978,1,3 Date of Service Edit: Clinical,Nature of Equipment
L3980,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3981,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3982,2,2 Date of Service Edit: Policy,Anatomic Consideration
L3984,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4000,1,2 Date of Service Edit: Policy,Anatomic Consideration
L4002,8,3 Date of Service Edit: Clinical,Clinical: Data
L4010,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4020,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4030,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4040,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4045,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4050,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4055,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4060,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4070,2,3 Date of Service Edit: Clinical,Clinical: Data
L4080,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4090,4,3 Date of Service Edit: Clinical,Nature of Equipment
L4100,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4110,4,3 Date of Service Edit: Clinical,Nature of Equipment
L4130,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4205,8,3 Date of Service Edit: Clinical,Clinical: Data
L4210,4,3 Date of Service Edit: Clinical,Clinical: Data
L4350,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4360,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4361,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4370,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4386,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4387,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4392,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L4394,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L4396,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4397,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4398,2,2 Date of Service Edit: Policy,Anatomic Consideration
L4631,2,2 Date of Service Edit: Policy,Anatomic Consideration
L5000,2,3 Date of Service Edit: Clinical,Anatomic Consideration
L5010,2,2 Date of Service Edit: Policy,Anatomic Consideration
L5020,2,2 Date of Service Edit: Policy,Anatomic Consideration
L5050,2,2 Date of Service Edit: Policy,Anatomic Consideration
L5060,2,2 Date of Service Edit: Policy,Anatomic Consideration
L5100,2,2 Date of Service Edit: Policy,Anatomic Consideration
L5105,2,2 Date of Service Edit: Policy,Anatomic Consideration
L5150,2,2 Date of Service Edit: Policy,Anatomic Consideration
L5160,2,2 Date of Service Edit: Policy,Anatomic Consideration
L5200,2,2 Date of Service Edit: Policy,Anatomic Consideration
L5210,2,2 Date of Service Edit: Policy,Anatomic Consideration
